win_start,S,Tajima's D,median_PRF,q025_PRF,q975_PRF
0,7271,-0.26313453376270685,0.2,0.1,0.2
10000,6853,-0.3321135443299641,0.2,0.1,0.30000000000000004
20000,6330,-0.3316039946617788,0.2,0.1,0.4
30000,6206,-0.2978821327704953,0.2,0.1,0.30000000000000004
40000,7170,-0.3491583430694545,0.2,0.2,0.30000000000000004
50000,6817,-0.390363813326041,0.30000000000000004,0.30000000000000004,0.4
60000,7441,-0.37707877676145457,0.30000000000000004,0.2,0.4
70000,7545,-0.46193183528724735,0.4,0.30000000000000004,0.4
80000,6818,-0.4584780438886605,0.30000000000000004,0.30000000000000004,0.4
90000,7466,-0.43525645054849527,0.30000000000000004,0.30000000000000004,0.4
100000,8365,-0.42273640095332526,0.30000000000000004,0.30000000000000004,0.4
110000,8562,-0.3844162030316028,0.30000000000000004,0.2,0.4
120000,8978,-0.3699598431336409,0.30000000000000004,0.2,0.30000000000000004
130000,9048,-0.3762419083472263,0.30000000000000004,0.2,0.30000000000000004
140000,8926,-0.2937155833298168,0.2,0.1,0.2
150000,9043,-0.2559461831951418,0.2,0.1,0.2
160000,9125,-0.27285874264421023,0.2,0.1,0.2
170000,8887,-0.23833299748338843,0.1,0.1,0.2
180000,9617,-0.2474857723508887,0.2,0.1,0.2
190000,9681,-0.3103807536247052,0.2,0.1,0.2
200000,8957,-0.31932950137404037,0.2,0.1,0.30000000000000004
210000,8794,-0.33587526299746445,0.2,0.1,0.30000000000000004
220000,8833,-0.360999993585503,0.2,0.2,0.30000000000000004
230000,9011,-0.3934305608883988,0.30000000000000004,0.2,0.4
240000,8505,-0.45147852264957206,0.30000000000000004,0.30000000000000004,0.4
250000,9054,-0.4856722022976491,0.4,0.30000000000000004,0.4
260000,8174,-0.5141039801689455,0.4,0.30000000000000004,0.5
270000,7913,-0.5771112894559153,0.5,0.4,0.6000000000000001
280000,7235,-0.5977887735572966,0.5,0.4,0.8
290000,6464,-0.555388967005631,0.5,0.4,0.6000000000000001
300000,7014,-0.5516873907440771,0.4,0.4,0.6000000000000001
310000,7541,-0.5278946279376786,0.4,0.30000000000000004,0.6000000000000001
320000,8146,-0.4891109464455475,0.4,0.30000000000000004,0.5
330000,7750,-0.4617294751559374,0.4,0.30000000000000004,0.4
340000,7198,-0.4550343522650483,0.4,0.30000000000000004,0.4
350000,6653,-0.39796675076467247,0.30000000000000004,0.2,0.4
360000,6997,-0.3843772378321349,0.30000000000000004,0.2,0.4
370000,6981,-0.42354135712077023,0.30000000000000004,0.2,0.4
380000,7578,-0.4076858126190341,0.30000000000000004,0.2,0.4
390000,7748,-0.39921634595458383,0.30000000000000004,0.2,0.4
400000,7941,-0.24726195997452236,0.2,0.1,0.2
410000,7307,-0.2535630623311498,0.2,0.1,0.2
420000,6828,-0.252275060532099,0.2,0.1,0.2
430000,6987,-0.2690804060586942,0.2,0.1,0.2
440000,7578,-0.2944109527960668,0.2,0.1,0.30000000000000004
450000,7838,-0.30738974939272173,0.2,0.1,0.30000000000000004
460000,8427,-0.27708429544581903,0.2,0.1,0.2
470000,8785,-0.27015279889832944,0.2,0.1,0.2
480000,8886,-0.2834622901131402,0.2,0.1,0.2
490000,8988,-0.29293689201474327,0.2,0.1,0.2
500000,8949,-0.4119654294729787,0.30000000000000004,0.2,0.4
510000,9733,-0.4344534603232065,0.30000000000000004,0.30000000000000004,0.4
520000,10400,-0.4216501833938891,0.30000000000000004,0.30000000000000004,0.4
530000,10392,-0.4086611714024525,0.30000000000000004,0.2,0.4
540000,10614,-0.3822766757947029,0.30000000000000004,0.2,0.4
550000,10345,-0.3631545576632946,0.2,0.2,0.30000000000000004
560000,10295,-0.3490587177346837,0.2,0.1,0.30000000000000004
570000,9030,-0.32121984795696357,0.2,0.18871204969543426,0.30000000000000004
580000,7796,-0.31924224894287556,0.2,0.2,0.30000000000000004
590000,8695,-0.34256213158949866,0.2,0.2,0.30000000000000004
600000,8416,-0.36646632064157775,0.2,0.2,0.4
610000,7902,-0.28530463107841303,0.2,0.1,0.2
620000,7405,-0.27159486139438577,0.2,0.1,0.2
630000,7609,-0.24413358437722957,0.1,0.1,0.2
640000,7786,-0.24362488168315144,0.2,0.1,0.2
650000,8255,-0.32981516274767353,0.2,0.2,0.30000000000000004
660000,7950,-0.30483297733670384,0.2,0.1,0.2
670000,9297,-0.27855364482758793,0.2,0.1,0.2
680000,10306,-0.29271748999016134,0.2,0.1,0.2
690000,10159,-0.280961543180333,0.2,0.1,0.2
700000,10350,-0.26681755681084707,0.2,0.1,0.2
710000,10013,-0.28777369517305007,0.2,0.1,0.2
720000,10316,-0.2853205594950075,0.2,0.1,0.2
730000,10695,-0.3064095875237018,0.2,0.1,0.2
740000,10765,-0.3067713426060817,0.2,0.1,0.2
750000,9754,-0.25617416801680143,0.2,0.1,0.2
760000,9044,-0.3298980415966265,0.2,0.2,0.30000000000000004
770000,8799,-0.3215989105439068,0.2,0.1,0.30000000000000004
780000,9215,-0.3057190486684875,0.2,0.1,0.2
790000,8930,-0.35513092471264013,0.2,0.1,0.30000000000000004
800000,8989,-0.388206833788312,0.30000000000000004,0.2,0.4
810000,8871,-0.3944394117292361,0.30000000000000004,0.2,0.4
820000,8214,-0.39770217723494494,0.30000000000000004,0.2,0.4
830000,8514,-0.32581405276772446,0.2,0.11075470482364395,0.30000000000000004
840000,7803,-0.33258574597927465,0.2,0.1,0.30000000000000004
850000,8479,-0.3389145305969449,0.2,0.1,0.30000000000000004
860000,8429,-0.32282304278578017,0.2,0.1,0.30000000000000004
870000,8217,-0.389399974113517,0.30000000000000004,0.2,0.4
880000,7939,-0.38184775011137834,0.30000000000000004,0.2,0.4
890000,7583,-0.31401360948263907,0.2,0.11082733148946343,0.30000000000000004
900000,7536,-0.20779703896052287,0.1,0.1,0.2
910000,8149,-0.19574424104546706,0.1,0.1,0.2
920000,8651,-0.21693929426847283,0.1,0.1,0.2
930000,8281,-0.22766596980622159,0.1,0.1,0.2
940000,9484,-0.22628382292490135,0.1,0.1,0.2
950000,9202,-0.20613306307187795,0.1,0.1,0.2
960000,10314,-0.23915069376294149,0.1,0.1,0.2
970000,10208,-0.22569455818881665,0.1,0.1,0.2
980000,10297,-0.24396952844974001,0.1,0.1,0.2
990000,10797,-0.2352189171151828,0.1,0.1,0.2
1000000,11147,-0.2797013136325471,0.2,0.1,0.2
1010000,10552,-0.3052569086866993,0.2,0.1,0.30000000000000004
1020000,10542,-0.31426903484854646,0.2,0.1,0.30000000000000004
1030000,10676,-0.35172631019531064,0.2,0.1,0.30000000000000004
1040000,10014,-0.40710889169466125,0.30000000000000004,0.30000000000000004,0.4
1050000,10250,-0.421196519190351,0.30000000000000004,0.30000000000000004,0.4
1060000,10166,-0.3825354668190707,0.30000000000000004,0.2,0.4
1070000,10114,-0.368154311203513,0.30000000000000004,0.2,0.4
1080000,10190,-0.36769545505275564,0.2,0.1,0.30000000000000004
1090000,9966,-0.37415930705564066,0.30000000000000004,0.2,0.4
1100000,9388,-0.33490058831310965,0.2,0.1,0.2
1110000,10160,-0.3382178403570363,0.2,0.2,0.30000000000000004
1120000,10120,-0.31272479391152935,0.2,0.1,0.2
1130000,9412,-0.35709633713665906,0.2,0.2,0.30000000000000004
1140000,8889,-0.31595087966607144,0.2,0.1,0.2
1150000,8995,-0.3495994346648465,0.2,0.1,0.30000000000000004
1160000,8619,-0.3292710711297931,0.2,0.1,0.2
1170000,8267,-0.32842384941237174,0.2,0.1,0.30000000000000004
1180000,6955,-0.3216722789572843,0.2,0.1,0.2
1190000,7364,-0.3123584965371507,0.2,0.1,0.2
1200000,7639,-0.36507247761829653,0.2,0.2,0.30000000000000004
1210000,7544,-0.34188253438850086,0.2,0.2,0.4
1220000,7468,-0.38014057013997177,0.30000000000000004,0.2,0.4
1230000,6837,-0.3212824371516502,0.2,0.16694484937221132,0.30000000000000004
1240000,6864,-0.3555725812896798,0.2,0.2,0.4
1250000,5932,-0.3062671252651899,0.2,0.1,0.2
1260000,5356,-0.35266575582153714,0.2,0.1,0.4
1270000,6142,-0.3355251377194835,0.2,0.2,0.30000000000000004
1280000,7583,-0.307155759611908,0.2,0.1150157335869034,0.30000000000000004
1290000,7371,-0.34546322509029176,0.2,0.2,0.30000000000000004
1300000,6556,-0.35820815637052766,0.2,0.2,0.30000000000000004
1310000,6668,-0.31354526916908926,0.2,0.1,0.2
1320000,6629,-0.26668526377171764,0.2,0.1,0.2
1330000,7652,-0.2654372551539937,0.2,0.1,0.2
1340000,7732,-0.2882753100767229,0.2,0.1,0.2
1350000,8029,-0.3034217204826855,0.2,0.1,0.2
1360000,8769,-0.2937604757707444,0.2,0.1,0.2
1370000,8884,-0.34065531675869704,0.2,0.1,0.30000000000000004
1380000,8563,-0.34187460315594104,0.2,0.1664147075684429,0.30000000000000004
1390000,8805,-0.34503526607152696,0.2,0.2,0.30000000000000004
1400000,10000,-0.3479304253781272,0.2,0.1,0.30000000000000004
